Banks,ROE,ROA,COD,COBR,ROAD,ROI,OPAST,INTINTOT,OTHINTOT,COMINTOT,NIITAST,SPRD,STEXTEX,PRVTAST,INTRMTAST,NETNPA,CRAR,BUSEMP,PFTEMP,
SBHY9,22.48130067,0.845735216,6.795733611,12.67198534,11.67061236,9.275734451,2.069158994,86.56228307,13.43771693,10.47990938,3.526524201,3.61578411,24.47636655,1.223423778,2.900349557,8.78,10.65,109,0.76,SBHY9
SBHY0,20.67542412,0.824109232,7.320731038,12.6361953,11.15750701,10.66678157,2.653091795,84.76022504,15.23977496,10.01540144,3.353325458,3.57412934,18.75426175,1.828982563,2.418887017,7.3,10.86,126,0.87,SBHY0
SBI7,16.91386481,0.862286959,7.498398563,6.919500239,13.07577055,11.79114887,2.171379698,84.97720076,15.02279924,10.25849779,3.425012963,5.025792322,20.45575514,1.309092739,2.942785393,7.3,12.17,68,0.56,SBI7
SBI8,19.37095384,1.035881479,7.312644863,5.946013602,10.54606409,11.62487655,1.95074739,84.91812269,15.08187731,10.89769071,3.008628097,3.692448183,23.41531838,0.914865911,2.62749545,6.07,14.58,75.44,0.77,SBI8
SBI9,9.880526859,0.461914972,7.215121854,5.225504327,10.4193716,10.64059518,1.551019606,85.33112909,14.66887091,10.6228378,2.724877477,3.306889725,21.89634619,1.089104634,2.650061725,7.18,12.51,93.64,0.43,SBI9
SBI0,16.88893381,0.784515295,7.31458419,6.003802754,9.738799342,10.34642896,1.607043062,86.14945395,13.85054605,9.962825036,2.649412434,2.718077768,20.76186484,0.822527767,2.407284177,6.41,11.49,111.2,0.87,SBI0
SBIN7,11.98391282,0.490229782,7.84903837,1.088329184,14.73083824,11.31389697,2.225982828,87.79026259,12.20973741,11.04005229,4.277945863,5.498889665,20.62692687,1.735753045,3.563325767,11.29,9.31,60.36,0.25,SBIN7
SBIN8,16.52232493,0.67707993,7.124696927,0.637040057,12.31466252,10.51190486,2.222432055,84.87419508,15.12580492,10.69655976,3.862103809,4.395463155,24.53616512,1.545352125,3.413086968,10.96,9.83,75.02,1.33,SBIN8
SBIN9,16.00780506,0.625911892,7.187568266,1.198415755,12.33568147,10.35266344,2.310497842,84.79037428,15.20962572,10.82127958,3.921718107,4.215781321,25.38272134,1.68458595,3.400649764,10.1,12.35,81,1.67,SBIN9
SBIN0,19.35963597,0.720666371,6.864796983,2.017095268,10.07769343,10.08072964,2.059821469,80.65150837,19.34849163,10.10024613,2.989574797,3.214286927,23.61639909,1.339155098,3.069533816,7.55,11.26,96.23,1.87,SBIN0
SBMY7,22.87844656,0.738653452,8.247175043,0.523479792,15.87526323,10.93730275,2.385417682,87.30052223,12.69947777,9.295821758,4.220910438,5.529315852,21.99946042,1.64676423,3.437146444,10.96,10.8,59.4,0.4,SBMY7
SBMY8,23.21419795,0.861995153,7.59463659,2.336416744,13.75605307,11.99842513,2.160404945,86.38620483,13.61379517,9.744988927,3.94497561,5.421957259,26.52157483,1.298409792,3.431089817,10.75,11.61,62.35,1.13,SBMY8
SBMY9,13.84800702,0.488364196,7.587846929,2.764300887,13.56043215,11.36105336,1.750206089,85.30523962,14.69476038,10.52037069,3.578173844,5.019651784,26.960118,1.261841893,3.574029076,10.55,10.23,70.75,1.05,SBMY9
SBMY0,17.13366084,0.582243767,7.364594056,2.342803413,12.67885736,10.52114099,1.963335821,82.97311561,17.02688439,10.70137481,3.393076535,4.312977162,27.83912079,1.381092054,3.411483483,8.12,11.5,81.61,1.42,SBMY0
SBPAT7,13.63762175,0.680635151,7.982836358,3.879952499,14.16567971,11.86487752,2.263924342,90.78362738,9.216372619,7.40272737,3.703761401,5.233095043,17.50935686,1.583289191,2.502304387,5.88,11.25,75,0.46,SBPAT7
SBPAT8,25.23717936,1.483434816,7.478725803,20.96997633,12.66563756,11.73380194,2.159767098,90.56050272,9.439497277,7.961505891,3.678028686,4.797227621,21.77920498,0.676332283,2.534701287,7.04,13.24,91.23,1.09,SBPAT8
SBPAT9,15.38657793,0.932399463,7.005898296,4.133235056,11.20671732,10.94322957,2.340817647,88.52317271,11.47682729,8.951555045,3.532332644,4.088268534,21.26135483,1.408418184,2.407635051,8.23,12.47,106.67,0.77,SBPAT9
